Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-18_10:58,2,391,10,3,378,2.55754,169,113
2016-12-18_11:03,4,391,121,5,265,30.9463,169,110
2016-12-18_11:07,6,391,190,11,190,48.5934,171,108
2016-12-18_11:12,8,391,228,23,140,58.312,168,110
2016-12-18_11:17,10,391,250,37,104,63.9386,170,110
2016-12-18_11:21,12,391,267,50,74,68.2864,167,107
2016-12-18_11:26,14,391,278,68,45,71.0997,190,120
2016-12-18_11:31,16,391,285,80,26,72.89,189,120
2016-12-18_11:36,18,391,289,90,12,73.913,189,120
2016-12-18_11:42,20,391,293,92,6,74.9361,187,120
2016-12-18_11:47,22,391,293,92,6,74.9361,188,120
2016-12-18_11:52,24,391,294,93,4,75.1918,189,120
2016-12-18_11:57,26,391,295,94,2,75.4476,189,119
2016-12-18_12:02,28,391,295,95,1,75.4476,189,121
2016-12-18_12:07,30,391,295,95,1,75.4476,192,121
2016-12-18_12:13,32,391,295,96,0,75.4476,171,108
2016-12-18_12:17,34,391,295,96,0,75.4476,173,113
2016-12-18_12:22,36,391,295,96,0,75.4476,188,121
2016-12-18_12:27,38,391,295,96,0,75.4476,174,112
2016-12-18_12:32,40,391,295,96,0,75.4476,168,109
2016-12-18_12:37,42,391,295,96,0,75.4476,176,107
2016-12-18_12:41,44,391,295,96,0,75.4476,169,107
2016-12-18_12:46,46,391,295,96,0,75.4476,190,120
2016-12-18_12:51,48,391,295,96,0,75.4476,177,108
2016-12-18_12:56,50,391,295,96,0,75.4476,189,120
2016-12-18_13:01,52,391,295,96,0,75.4476,191,121
2016-12-18_13:06,54,391,295,96,0,75.4476,171,122
2016-12-18_13:11,56,391,295,96,0,75.4476,186,120
2016-12-18_13:16,58,391,295,96,0,75.4476,188,120
2016-12-18_13:22,60,391,295,96,0,75.4476,189,119
2016-12-18_13:27,62,391,295,96,0,75.4476,188,121
2016-12-18_13:32,64,391,295,96,0,75.4476,189,119
2016-12-18_13:37,66,391,295,96,0,75.4476,189,119
2016-12-18_13:42,68,391,295,96,0,75.4476,187,120
2016-12-18_13:47,70,391,295,96,0,75.4476,189,120
2016-12-18_13:53,72,391,295,96,0,75.4476,188,120
2016-12-18_13:58,74,391,295,96,0,75.4476,188,121
2016-12-18_14:03,76,391,295,96,0,75.4476,188,120
2016-12-18_14:08,78,391,295,96,0,75.4476,189,120
2016-12-18_14:13,80,391,295,96,0,75.4476,189,120
2016-12-18_14:18,82,391,295,96,0,75.4476,189,119
2016-12-18_14:24,84,391,295,96,0,75.4476,192,121
2016-12-18_14:29,86,391,295,96,0,75.4476,186,120
2016-12-18_14:34,88,391,295,96,0,75.4476,189,120
2016-12-18_14:39,90,391,295,96,0,75.4476,189,113
2016-12-18_14:44,92,391,295,96,0,75.4476,189,120
2016-12-18_14:49,94,391,295,96,0,75.4476,188,120
2016-12-18_14:55,96,391,295,96,0,75.4476,189,120
2016-12-18_15:00,98,391,295,96,0,75.4476,189,121
2016-12-18_15:05,100,391,295,96,0,75.4476,188,120
2016-12-18_15:10,2,391,10,3,378,2.55754,189,121
2016-12-18_15:15,4,391,121,5,265,30.9463,188,121
2016-12-18_15:20,6,391,190,11,190,48.5934,189,119
2016-12-18_15:26,8,391,228,23,140,58.312,189,121
2016-12-18_15:31,10,391,250,37,104,63.9386,189,119
2016-12-18_15:36,12,391,267,50,74,68.2864,188,121
2016-12-18_15:41,14,391,278,68,45,71.0997,190,121
2016-12-18_15:46,16,391,285,80,26,72.89,189,120
2016-12-18_15:52,18,391,289,90,12,73.913,184,119
2016-12-18_15:57,20,391,293,92,6,74.9361,189,119
2016-12-18_16:02,22,391,293,92,6,74.9361,189,119
2016-12-18_16:07,24,391,294,93,4,75.1918,188,120
2016-12-18_16:12,26,391,295,94,2,75.4476,189,116
2016-12-18_16:17,28,391,295,95,1,75.4476,186,120
2016-12-18_16:22,30,391,295,95,1,75.4476,188,120
2016-12-18_16:27,32,391,295,96,0,75.4476,189,119
2016-12-18_16:33,34,391,295,96,0,75.4476,187,120
2016-12-18_16:38,36,391,295,96,0,75.4476,189,120
2016-12-18_16:43,38,391,295,96,0,75.4476,184,119
2016-12-18_16:48,40,391,295,96,0,75.4476,189,121
2016-12-18_16:53,42,391,295,96,0,75.4476,188,120
2016-12-18_16:58,44,391,295,96,0,75.4476,188,120
2016-12-18_17:04,46,391,295,96,0,75.4476,189,119
2016-12-18_17:09,48,391,295,96,0,75.4476,187,116
2016-12-18_17:14,50,391,295,96,0,75.4476,189,119
2016-12-18_17:19,52,391,295,96,0,75.4476,187,120
2016-12-18_17:24,54,391,295,96,0,75.4476,186,119
2016-12-18_17:29,56,391,295,96,0,75.4476,188,121
2016-12-18_17:34,58,391,295,96,0,75.4476,187,120
2016-12-18_17:40,60,391,295,96,0,75.4476,191,120
2016-12-18_17:45,62,391,295,96,0,75.4476,192,120
2016-12-18_17:50,64,391,295,96,0,75.4476,187,117
2016-12-18_17:55,66,391,295,96,0,75.4476,189,120
2016-12-18_18:00,68,391,295,96,0,75.4476,185,117
2016-12-18_18:05,70,391,295,96,0,75.4476,186,119
2016-12-18_18:10,72,391,295,96,0,75.4476,190,120
2016-12-18_18:16,74,391,295,96,0,75.4476,189,117
2016-12-18_18:21,76,391,295,96,0,75.4476,189,119
2016-12-18_18:26,78,391,295,96,0,75.4476,186,120
2016-12-18_18:31,80,391,295,96,0,75.4476,182,120
2016-12-18_18:36,82,391,295,96,0,75.4476,187,120
2016-12-18_18:41,84,391,295,96,0,75.4476,188,120
2016-12-18_18:46,86,391,295,96,0,75.4476,187,119
2016-12-18_18:51,88,391,295,96,0,75.4476,188,117
2016-12-18_18:57,90,391,295,96,0,75.4476,185,119
2016-12-18_19:02,92,391,295,96,0,75.4476,185,120
2016-12-18_19:07,94,391,295,96,0,75.4476,187,119
2016-12-18_19:12,96,391,295,96,0,75.4476,187,120
2016-12-18_19:17,98,391,295,96,0,75.4476,186,117
2016-12-18_19:22,100,391,295,96,0,75.4476,182,119
