Date & Time,Threshold,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-11_10:45,10,1,264,0,12,58
2016-12-11_10:46,12,1,264,0,12,58
2016-12-11_10:47,14,1,262,0.754717,13,56
2016-12-11_10:49,16,1,258,2.26415,11,49
2016-12-11_10:50,18,1,235,10.9434,10,50
2016-12-11_10:51,20,1,206,21.8868,10,49
2016-12-11_10:52,22,1,190,27.9245,10,49
2016-12-11_10:53,24,1,187,29.0566,11,49
2016-12-11_10:54,26,1,185,29.8113,11,49
2016-12-11_10:55,28,1,178,32.4528,13,58
2016-12-11_10:56,30,1,164,37.7358,12,58
2016-12-11_10:57,32,1,148,43.7736,12,58
2016-12-11_10:58,34,2,121,53.5849,13,58
2016-12-11_10:59,36,7,107,56.9811,12,58
2016-12-11_11:00,38,10,88,63.0189,12,58
2016-12-11_11:02,40,12,70,69.0566,13,58
2016-12-11_11:03,42,14,53,74.717,12,58
2016-12-11_11:04,44,16,48,75.8491,12,58
2016-12-11_11:05,46,20,36,78.8679,13,58
2016-12-11_11:06,48,23,28,80.7547,12,58
2016-12-11_11:08,50,25,21,82.6415,13,58
2016-12-11_11:09,52,27,15,84.1509,13,58
2016-12-11_11:10,54,30,10,84.9057,12,58
2016-12-11_11:11,56,31,8,85.283,13,58
2016-12-11_11:12,58,31,8,85.283,12,59
2016-12-11_11:13,60,33,5,85.6604,12,58
2016-12-11_11:15,62,33,4,86.0377,13,58
2016-12-11_11:16,64,34,3,86.0377,12,59
2016-12-11_11:17,66,35,1,86.4151,12,58
2016-12-11_11:18,68,35,1,86.4151,13,58
2016-12-11_11:19,70,35,1,86.4151,12,88
2016-12-11_11:21,72,35,0,86.7925,12,58
2016-12-11_11:22,74,35,0,86.7925,12,58
2016-12-11_11:23,76,35,0,86.7925,13,58
2016-12-11_11:25,78,35,0,86.7925,12,58
2016-12-11_11:26,80,35,0,86.7925,13,58
2016-12-11_11:27,82,35,0,86.7925,11,49
2016-12-11_11:28,84,35,0,86.7925,10,49
2016-12-11_11:29,86,35,0,86.7925,11,49
2016-12-11_11:30,88,35,0,86.7925,11,49
2016-12-11_11:31,90,35,0,86.7925,13,58
2016-12-11_11:32,92,35,0,86.7925,12,59
2016-12-11_11:33,94,35,0,86.7925,12,58
2016-12-11_11:34,96,35,0,86.7925,13,58
2016-12-11_11:36,98,35,0,86.7925,13,58
2016-12-11_11:37,100,35,0,86.7925,12,58
2016-12-11_11:38,10,1,264,0,12,58
2016-12-11_11:39,12,1,264,0,13,58
2016-12-11_11:40,14,1,262,0.754717,12,58
2016-12-11_11:41,16,1,258,2.26415,12,58
2016-12-11_11:43,18,1,235,10.9434,13,58
2016-12-11_11:44,20,1,206,21.8868,13,58
2016-12-11_11:45,22,1,190,27.9245,12,58
2016-12-11_11:46,24,1,187,29.0566,12,58
2016-12-11_11:47,26,1,185,29.8113,13,58
2016-12-11_11:49,28,1,178,32.4528,12,59
2016-12-11_11:50,30,1,164,37.7358,12,58
2016-12-11_11:51,32,1,148,43.7736,13,58
2016-12-11_11:52,34,2,121,53.5849,13,58
2016-12-11_11:53,36,7,107,56.9811,12,58
2016-12-11_11:54,38,10,88,63.0189,12,58
2016-12-11_11:56,40,12,70,69.0566,12,58
2016-12-11_11:57,42,14,53,74.717,13,58
2016-12-11_11:58,44,16,48,75.8491,12,58
2016-12-11_11:59,46,20,36,78.8679,12,58
2016-12-11_12:00,48,23,28,80.7547,13,58
2016-12-11_12:01,50,25,21,82.6415,13,58
2016-12-11_12:03,52,27,15,84.1509,12,58
2016-12-11_12:04,54,30,10,84.9057,12,58
2016-12-11_12:05,56,31,8,85.283,13,58
2016-12-11_12:06,58,31,8,85.283,12,58
2016-12-11_12:07,60,33,5,85.6604,12,58
2016-12-11_12:09,62,33,4,86.0377,13,58
2016-12-11_12:10,64,34,3,86.0377,12,58
2016-12-11_12:11,66,35,1,86.4151,12,58
2016-12-11_12:12,68,35,1,86.4151,13,58
2016-12-11_12:13,70,35,1,86.4151,12,59
2016-12-11_12:14,72,35,0,86.7925,12,58
2016-12-11_12:16,74,35,0,86.7925,13,58
2016-12-11_12:17,76,35,0,86.7925,13,58
2016-12-11_12:18,78,35,0,86.7925,12,59
2016-12-11_12:19,80,35,0,86.7925,12,58
2016-12-11_12:20,82,35,0,86.7925,13,58
2016-12-11_12:22,84,35,0,86.7925,13,58
2016-12-11_12:23,86,35,0,86.7925,10,49
2016-12-11_12:24,88,35,0,86.7925,10,49
2016-12-11_12:25,90,35,0,86.7925,11,49
2016-12-11_12:26,92,35,0,86.7925,11,49
2016-12-11_12:27,94,35,0,86.7925,10,49
2016-12-11_12:28,96,35,0,86.7925,11,49
2016-12-11_12:29,98,35,0,86.7925,10,49
2016-12-11_12:30,100,35,0,86.7925,10,49
